transaction_id,customer_id,product_id,sales_rep_id,transaction_date,quantity,unit_price,discount_percent,gross_amount,discount_amount,net_amount,payment_method,payment_status,sales_channel,region,currency_code,exchange_rate_to_usd,order_priority
TXN-2023-00001,CUST-00156,PROD-0012,REP-0045,2023-01-02,5,1499.00,10.00,7495.00,749.50,6745.50,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00002,CUST-00892,PROD-0008,REP-0112,2023-01-02,2,2999.00,0.00,5998.00,0.00,5998.00,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00003,CUST-00234,PROD-0003,REP-0078,2023-01-03,10,599.00,15.00,5990.00,898.50,5091.50,Invoice,Pending,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00004,CUST-01245,PROD-0015,REP-0045,2023-01-03,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,Asia-Pacific,SGD,0.7400,High
TXN-2023-00005,CUST-00567,PROD-0012,REP-0089,2023-01-04,3,1499.00,12.00,4497.00,539.64,3957.36,PayPal,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00006,CUST-00156,PROD-0021,REP-0045,2023-01-05,8,299.00,8.00,2392.00,191.36,2200.64,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00007,CUST-02134,PROD-0007,REP-0156,2023-01-06,15,899.00,20.00,13485.00,2697.00,10788.00,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00008,CUST-00892,PROD-0012,REP-0112,2023-01-07,4,1499.00,10.00,5996.00,599.60,5396.40,Invoice,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00009,CUST-01567,PROD-0018,REP-0203,2023-01-08,1,7999.00,0.00,7999.00,0.00,7999.00,Credit Card,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,High
TXN-2023-00010,CUST-00234,PROD-0003,REP-0078,2023-01-09,6,599.00,15.00,3594.00,539.10,3054.90,Credit Card,Failed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00011,CUST-03456,PROD-0002,REP-0134,2023-01-10,1,2999.00,5.00,2999.00,149.95,2849.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00012,CUST-04567,PROD-0006,REP-0089,2023-01-11,5,899.00,10.00,4495.00,449.50,4045.50,Wire Transfer,Completed,Partner,North America,CAD,0.7500,Medium
TXN-2023-00013,CUST-05678,PROD-0011,REP-0156,2023-01-12,20,199.00,18.00,3980.00,716.40,3263.60,Invoice,Completed,Partner,Europe,EUR,1.0800,Low
TXN-2023-00014,CUST-00892,PROD-0021,REP-0112,2023-01-13,10,299.00,12.00,2990.00,358.80,2631.20,Credit Card,Completed,Partner,Europe,EUR,1.0800,Low
TXN-2023-00015,CUST-06789,PROD-0012,REP-0203,2023-01-14,2,1499.00,8.00,2998.00,239.84,2758.16,PayPal,Completed,Online,Asia-Pacific,AUD,0.6700,Medium
TXN-2023-00016,CUST-07890,PROD-0004,REP-0245,2023-01-15,1,5999.00,0.00,5999.00,0.00,5999.00,Wire Transfer,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00017,CUST-00156,PROD-0009,REP-0045,2023-01-16,50,99.00,15.00,4950.00,742.50,4207.50,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00018,CUST-08901,PROD-0008,REP-0112,2023-01-17,3,2999.00,8.00,8997.00,719.76,8277.24,Invoice,Pending,Partner,Europe,EUR,1.0800,High
TXN-2023-00019,CUST-09012,PROD-0003,REP-0267,2023-01-18,12,599.00,15.00,7188.00,1078.20,6109.80,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00020,CUST-00234,PROD-0012,REP-0078,2023-01-19,4,1499.00,10.00,5996.00,599.60,5396.40,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00021,CUST-10123,PROD-0007,REP-0089,2023-01-20,8,899.00,12.00,7192.00,863.04,6328.96,Wire Transfer,Completed,Partner,Europe,GBP,1.2700,Medium
TXN-2023-00022,CUST-11234,PROD-0015,REP-0203,2023-01-21,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,Asia-Pacific,JPY,0.0075,High
TXN-2023-00023,CUST-00567,PROD-0021,REP-0089,2023-01-22,15,299.00,10.00,4485.00,448.50,4036.50,PayPal,Completed,Online,Europe,GBP,1.2700,Low
TXN-2023-00024,CUST-12345,PROD-0002,REP-0134,2023-01-23,2,2999.00,8.00,5998.00,479.84,5518.16,Invoice,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00025,CUST-02134,PROD-0012,REP-0156,2023-01-24,6,1499.00,15.00,8994.00,1349.10,7644.90,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00026,CUST-13456,PROD-0006,REP-0289,2023-01-25,3,899.00,10.00,2697.00,269.70,2427.30,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00027,CUST-00892,PROD-0018,REP-0112,2023-01-26,1,7999.00,5.00,7999.00,399.95,7599.05,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00028,CUST-14567,PROD-0003,REP-0078,2023-01-27,15,599.00,18.00,8985.00,1617.30,7367.70,Credit Card,Failed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00029,CUST-01245,PROD-0011,REP-0045,2023-01-28,25,199.00,12.00,4975.00,597.00,4378.00,PayPal,Completed,Online,Asia-Pacific,SGD,0.7400,Low
TXN-2023-00030,CUST-15678,PROD-0008,REP-0156,2023-01-29,2,2999.00,5.00,5998.00,299.90,5698.10,Invoice,Completed,Partner,Europe,EUR,1.0800,High
